"id","niveau","code","libelle","id_parent","id_n1"
0,1,A,"Agriculture, sylviculture et pêche",,0
1,1,B,Industries extractives,,1
2,1,C,Industrie manufacturière,,2
3,1,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",,3
4,1,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",,4
5,1,F,Construction,,5
6,1,G,Commerce ; réparation d'automobiles et de motocycles,,6
7,1,H,Transports et entreposage,,7
8,1,I,Hébergement et restauration,,8
9,1,J,Information et communication,,9
10,1,K,Activités financières et d'assurance,,10
11,1,L,Activités immobilières,,11
12,1,M,"Activités spécialisées, scientifiques et techniques",,12
13,1,N,Activités de services administratifs et de soutien,,13
14,1,O,Administration publique,,14
15,1,P,Enseignement,,15
16,1,Q,Santé humaine et action sociale,,16
17,1,R,"Arts, spectacles et activités récréatives",,17
18,1,S,Autres activités de services,,18
19,1,T,Activités des ménages en tant qu'employeurs ; activités indifférenciées des ménages en tant que producteurs de biens et services pour usage propre,,19
20,1,U,Activités extra-territoriales,,20
21,2,"01","Culture et production animale, chasse et services annexes",0,0
22,2,"02",Sylviculture et exploitation forestière,0,0
23,2,"03",Pêche et aquaculture,0,0
24,2,"05",Extraction de houille et de lignite,1,1
25,2,"06",Extraction d'hydrocarbures,1,1
26,2,"07",Extraction de minerais métalliques,1,1
27,2,"08",Autres industries extractives,1,1
28,2,"09",Services de soutien aux industries extractives,1,1
29,2,"10",Industries alimentaires,2,2
30,2,"11",Fabrication de boissons,2,2
31,2,"12",Fabrication de produits à base de tabac,2,2
32,2,"13",Fabrication de textiles,2,2
33,2,"14",Industrie de l'habillement,2,2
34,2,"15",Industrie du cuir et de la chaussure,2,2
35,2,"16","Travail du bois et fabrication d'articles en bois et en liège, à l’exception des meubles",2,2
36,2,"17",Industrie du papier et du carton,2,2
37,2,"18",Imprimerie et reproduction d'enregistrements,2,2
38,2,"19",Cokéfaction et raffinage,2,2
39,2,"20",Industrie chimique,2,2
40,2,"21",Industrie pharmaceutique,2,2
41,2,"22",Fabrication de produits en caoutchouc et en plastique,2,2
42,2,"23",Fabrication d'autres produits minéraux non métalliques,2,2
43,2,"24",Métallurgie,2,2
44,2,"25","Fabrication de produits métalliques, à l’exception des machines et des équipements",2,2
45,2,"26","Fabrication de produits informatiques, électroniques et optiques",2,2
46,2,"27",Fabrication d'équipements électriques,2,2
47,2,"28",Fabrication de machines et équipements n.c.a.,2,2
48,2,"29",Industrie automobile,2,2
49,2,"30",Fabrication d'autres matériels de transport,2,2
50,2,"31",Fabrication de meubles,2,2
51,2,"32",Autres industries manufacturières,2,2
52,2,"33",Réparation et installation de machines et d'équipements ,2,2
53,2,"35","Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",3,3
54,2,"36","Captage, traitement et distribution d'eau ",4,4
55,2,"37",Collecte et traitement des eaux usées,4,4
56,2,"38","Collecte, traitement et élimination des déchets",4,4
57,2,"39",Dépollution et autres services de gestion des déchets,4,4
58,2,"41",Construction de bâtiments ,5,5
59,2,"42",Génie civil,5,5
60,2,"43",Travaux de construction spécialisés ,5,5
61,2,"45",Commerce et réparation d'automobiles et de motocycles,6,6
62,2,"46","Commerce de gros, à l’exception des automobiles et des motocycles",6,6
63,2,"47","Commerce de détail, à l’exception des automobiles et des motocycles",6,6
64,2,"49",Transports terrestres et transport par conduites,7,7
65,2,"50",Transports par eau,7,7
66,2,"51",Transports aériens,7,7
67,2,"52",Entreposage et services auxiliaires des transports,7,7
68,2,"53",Activités de poste et de courrier,7,7
69,2,"55",Hébergement,8,8
70,2,"56",Restauration,8,8
